各省	ge sheng 
塞罕坝	sai han ba 
水生	shui sheng 
青少年	qing shao nian 
越西县	yue xi xian 
煤矿	mei kuang 
联络组	lian luo zu 
信托投资公司	xin tuo tou zi gong si 
复函	fu han 
原物	yuan wu 
党报	dang bao 
筹集资金	chou ji zi jin 
准绳	zhun sheng 
驾驶	jia shi 
事中	shi zhong 
教育资源	jiao yu zi yuan 
环节	huan jie 
加计	jia ji 
一套	yi tao 
名义	ming yi 
七科	qi ke 
射线	she xian 
颁布	ban bu 
福州市	fu zhou shi 
退捕	tui bu 
农业大学	nong ye da xue 
四次会议	si ci hui yi 
机动车	ji dong che 
法定化	fa ding hua 
家园	jia yuan 
谣言	yao yan 
共产主义青年团	gong chan zhu yi qing nian tuan 
肿瘤科	zhong liu ke 
庆典活动	qing dian huo dong 
水运	shui yun 
建设部	jian she bu 
党组	dang zu 
江苏	jiang su 
不良后果	bu liang hou guo 
政党	zheng dang 
逐步推广	zhu bu tui guang 
一旦	yi dan 
嘉兴	jia xing 
财产保险	cai chan bao xian 
厅局级	ting ju ji 
财经	cai jing 
血站	xue zhan 
院士	yuan shi 
定型	ding xing 
捕捞	bu lao 
工程技术	gong cheng ji shu 
德才兼备	de cai jian bei 
违法活动	wei fa huo dong 
产假	chan jia 
科技人才	ke ji ren cai 
用语	yong yu 
富有	fu you 
壁垒	bi lei 
病理	bing li 
以及	yi ji 
立即	li ji 
成功经验	cheng gong jing yan 
信誉	xin yu 
灭失	mie shi 
对以	dui yi 
抄送	chao song 
报请	bao qing 
利益冲突	li yi chong tu 
河流	he liu 
中小学校	zhong xiao xue xiao 
河湖	he hu 
遇到	yu dao 
中期	zhong qi 
机械化	ji xie hua 
建筑	jian zhu 
教训	jiao xun 
白云	bai yun 
万亿元	wan yi yuan 
社会保险	she hui bao xian 
中国人民大学	zhong guo ren min da xue 
过问	guo wen 
认定	ren ding 
湖北省妇幼保健院	hu bei sheng fu you bao jian yuan 
管控	guan kong 
积分	ji fen 
外资项目	wai zi xiang mu 
俱乐部	ju le bu 
公益	gong yi 
隐瞒	yin man 
填写	tian xie 
非金融	fei jin rong 
参加	can jia 
区要	qu yao 
科科长	ke ke zhang 
优势产业	you shi chan ye 
中央社会主义学院	zhong yang she hui zhu yi xue yuan 
草案	cao an 
老旧	lao jiu 
每届	mei jie 
连休	lian xiu 
光谷	guang gu 
各方面	ge fang mian 
沿海	yan hai 
中央政法委员会	zhong yang zheng fa wei yuan hui 
军事设施	jun shi she shi 
药典	yao dian 
城市建设	cheng shi jian she 
新冠病毒	xin guan bing du 
承包经营	cheng bao jing ying 
面向世界	mian xiang shi jie 
中止	zhong zhi 
服出	fu chu 
业务知识	ye wu zhi shi 
窗口	chuang kou 
烟台市	yan tai shi 
中起	zhong qi 
有序	you xu 
办医	ban yi 
火神山医院	huo shen shan yi yuan 
解决问题	jie jue wen ti 
报销	bao xiao 
敢于	gan yu 
临港	lin gang 
无线电	wu xian dian 
当家作主	dang jia zuo zhu 
对方	dui fang 
又要	you yao 
秸秆	jie gan 
传统媒体	chuan tong mei ti 
科学技术	ke xue ji shu 
队伍素质	dui wu su zhi 
湖南省人民政府	hu nan sheng ren min zheng fu 
招商引资	zhao shang yin zi 
做好	zuo hao 
开户	kai hu 
正确认识	zheng que ren shi 
人民群众	ren min qun zhong 
抗疫	kang yi 
特点	te dian 
安全局	an quan ju 
必要措施	bi yao cuo shi 
装配式	zhuang pei shi 
适宜性	shi yi xing 
手段	shou duan 
兴县	xing xian 
预防接种	yu fang jie zhong 
专职	zhuan zhi 
对外开放	dui wai kai fang 
苏联	su lian 
教学	jiao xue 
凤凰	feng huang 
湖长	hu zhang 
运行机制	yun xing ji zhi 
兰坪白族普米族自治县	lan ping bai zu pu mi zu zi zhi xian 
人口素质	ren kou su zhi 
统战部	tong zhan bu 
挑战	tiao zhan 
规矩	gui ju 
速度	su du 
召开	zhao kai 
新乡市	xin xiang shi 
倾倒	qing dao 
相适应	xiang shi ying 
公道	gong dao 
曝光	bao guang 
劳动保护	lao dong bao hu 
收费	shou fei 
并且	bing qie 
经报	jing bao 
造成	zao cheng 
特殊教育	te shu jiao yu 
集体经营性	ji ti jing ying xing 
坚持	jian chi 
社会阶层	she hui jie ceng 
甘孜藏族自治州	gan zi zang zu zi zhi zhou 
出席会议	chu xi hui yi 
委办	wei ban 
定额管理	ding e guan li 
横琴	heng qin 
常务副	chang wu fu 
制度性	zhi du xing 
反拐	fan guai 
国家测绘局	guo jia ce hui ju 
实战	shi zhan 
党政机关	dang zheng ji guan 
通信网	tong xin wang 
意识形态	yi shi xing tai 
原产地	yuan chan di 
集镇	ji zhen 
赶赴	gan fu 
增效	zeng xiao 
下岗	xia gang 
定期检查	ding qi jian cha 
政府性	zheng fu xing 
免职	mian zhi 
分割	fen ge 
资源管理	zi yuan guan li 
山村	shan cun 
茶叶	cha ye 
大中城市	da zhong cheng shi 
不同	bu tong 
限量	xian liang 
港澳	gang ao 
世界	shi jie 
文化素质	wen hua su zhi 
换届选举	huan jie xuan ju 
家具	jia ju 
武警	wu jing 
中国邮政集团有限公司	zhong guo you zheng ji tuan you xian gong si 
加强	jia qiang 
个人所得税法	ge ren suo de shui fa 
化妆品	hua zhuang pin 
走向	zou xiang 
镇江市	zhen jiang shi 
偿债	chang zhai 
四川	si chuan 
善于	shan yu 
研究局	yan jiu ju 
辽阳市	liao yang shi 
互利	hu li 
重组	chong zu 
代理	dai li 
常德市	chang de shi 
医务人员	yi wu ren yuan 
残留	can liu 
中华人民共和国国务院	zhong hua ren min gong he guo guo wu yuan 
招投标	zhao tou biao 
策划	ce hua 
权利	quan li 
惠州市	hui zhou shi 
工资收入	gong zi shou ru 
开发利用	kai fa li yong 
认监委	ren jian wei 
安全措施	an quan cuo shi 
汇报提纲	hui bao ti gang 
十八	shi ba 
省部级	sheng bu ji 
万州区	wan zhou qu 
金银	jin yin 
消化吸收	xiao hua xi shou 
自治县	zi zhi xian 
走廊	zou lang 
多渠道	duo qu dao 
开行	kai xing 
组织部门	zu zhi bu men 
疾控局	ji kong ju 
态势	tai shi 
事件	shi jian 
原始	yuan shi 
麻阳	ma yang 
只计	zhi ji 
德才	de cai 
横杠	heng gang 
两岸关系	liang an guan xi 
国函	guo han 
飞跃	fei yue 
立体化	li ti hua 
复兴	fu xing 
落后	luo hou 
朝鲜族	chao xian zu 
预算资金	yu suan zi jin 
本领	ben ling 
疏附县	shu fu xian 
护师	hu shi 
提拔	ti ba 
重大事件	zhong da shi jian 
解聘	jie pin 
尽收	jin shou 
确定	que ding 
步调一致	bu diao yi zhi 
组成	zu cheng 
从严治党	cong yan zhi dang 
平等	ping deng 
纠错	jiu cuo 
后续	hou xu 
造就	zao jiu 
挪用	nuo yong 
省区市	sheng qu shi 
化解	hua jie 
水污染	shui wu ran 
降职	jiang zhi 
龙头	long tou 
科研经费	ke yan jing fei 
日报	ri bao 
一路	yi lu 
军民	jun min 
腐败	fu bai 
尽快	jin kuai 
未能	wei neng 
孕期	yun qi 
中国电信集团	zhong guo dian xin ji tuan 
廉洁关	lian jie guan 
仓库	cang ku 
雄安	xiong an 
改革方案	gai ge fang an 
相关联	xiang guan lian 
通过	tong guo 
经营方式	jing ying fang shi 
承包单位	cheng bao dan wei 
不动产	bu dong chan 
依据	yi ju 
干预	gan yu 
求真务实	qiu zhen wu shi 
负债	fu zhai 
输血	shu xue 
加工	jia gong 
国家综合立体交通网规划纲要	guo jia zong he li ti jiao tong wang gui hua gang yao 
民政部门	min zheng bu men 
杜绝	du jue 
优秀人才	you xiu ren cai 
势头	shi tou 
共青团中央	gong qing tuan zhong yang 
平行	ping xing 
中央军委联合参谋部	zhong yang jun wei lian he can mou bu 
带病	dai bing 
氮氧化物	dan yang hua wu 
认识	ren shi 
枣庄市	zao zhuang shi 
量化	liang hua 
三道	san dao 
极点	ji dian 
销毁	xiao hui 
外国专家	wai guo zhuan jia 
期权	qi quan 
侵权行为	qin quan xing wei 
拼装	pin zhuang 
占用	zhan yong 
管理中心	guan li zhong xin 
决胜	jue sheng 
伤害	shang hai 
经济特区	jing ji te qu 
递延	di yan 
中国民航	zhong guo min hang 
总结报告	zong jie bao gao 
普惠	pu hui 
同心	tong xin 
陵川县	ling chuan xian 
无为	wu wei 
中医	zhong yi 
涨价	zhang jia 
标注	biao zhu 
偶然	ou ran 
层次	ceng ci 
河长制	he zhang zhi 
常州	chang zhou 
允许	yun xu 
另有	ling you 
客运	ke yun 
中介机构	zhong jie ji gou 
堆放	dui fang 
输出	shu chu 
加严	jia yan 
遗留问题	yi liu wen ti 
从本	cong ben 
反恐	fan kong 
复合型	fu he xing 
上半年	shang ban nian 
福利彩票	fu li cai piao 
市民化	shi min hua 
办公用房	ban gong yong fang 
违法犯罪	wei fa fan zui 
控制权	kong zhi quan 
电信网	dian xin wang 
工作方式	gong zuo fang shi 
实效性	shi xiao xing 
家政服务业	jia zheng fu wu ye 
郴州	chen zhou 
编辑	bian ji 
公章	gong zhang 
享受	xiang shou 
艾滋病	ai zi bing 
医药产业	yi yao chan ye 
多发	duo fa 
留抵	liu di 
护卫	hu wei 
众创空间	zhong chuang kong jian 
九科	jiu ke 
日本	ri ben 
增加收入	zeng jia shou ru 
情感	qing gan 
车辆通行	che liang tong xing 
浙江大学	zhe jiang da xue 
安委会	an wei hui 
检察机关	jian cha ji guan 
审计	shen ji 
田间	tian jian 
海口	hai kou 
通州区	tong zhou qu 
实实在在	shi shi zai zai 
进入	jin ru 
耕地	geng di 
经济性	jing ji xing 
三地	san di 
法学会	fa xue hui 
一证	yi zheng 
防疫	fang yi 
辐射源	fu she yuan 
国务院国资委	guo wu yuan guo zi wei 
逃废	tao fei 
宿迁市	su qian shi 
总社	zong she 
发行	fa xing 
全国代表大会	quan guo dai biao da hui 
五年内	wu nian nei 
控告	kong gao 
首批	shou pi 
茂名市	mao ming shi 
限制	xian zhi 
信息中心	xin xi zhong xin 
建模	jian mo 
抢险救灾	qiang xian jiu zai 
动力	dong li 
方可	fang ke 
全资	quan zi 
保供	bao gong 
运行	yun xing 
新闻出版署	xin wen chu ban shu 
信息化	xin xi hua 
湖北	hu bei 
应用服务	ying yong fu wu 
自然保护	zi ran bao hu 
市场秩序	shi chang zhi xu 
中华全国供销合作总社	zhong hua quan guo gong xiao he zuo zong she 
驻马店市	zhu ma dian shi 
先租后	xian zu hou 
战略思想	zhan lve si xiang 
立德	li de 
洋浦	yang pu 
实效	shi xiao 
恶意	e yi 
淮安市	huai an shi 
节目	jie mu 
国民教育	guo min jiao yu 
汇总	hui zong 
旅游区	lv you qu 
晋职	jin zhi 
预算	yu suan 
服务提供者	fu wu ti gong zhe 
乌兰察布	wu lan cha bu 
农村妇女	nong cun fu nv 
重伤	zhong shang 
保存	bao cun 
挂职锻炼	gua zhi duan lian 
兴盛	xing sheng 
哺乳期	bu ru qi 
经营范围	jing ying fan wei 
学杂费	xue za fei 
宏观调控	hong guan tiao kong 
新任	xin ren 
党风建设	dang feng jian she 
食品	shi pin 
新生	xin sheng 
疏于	shu yu 
购销	gou xiao 
地理	di li 
吉木乃县	ji mu nai xian 
标准规范	biao zhun gui fan 
纪律检查委员会	ji lv jian cha wei yuan hui 
较高	jiao gao 
乃至	nai zhi 
伟大	wei da 
查验	cha yan 
准入	zhun ru 
八八	ba ba 
专题会议	zhuan ti hui yi 
交给	jiao gei 
病房	bing fang 
总协定	zong xie ding 
开征	kai zheng 
永久	yong jiu 
保康县	bao kang xian 
条约	tiao yue 
生命	sheng ming 
优良传统	you liang chuan tong 
街道社区	jie dao she qu 
治教	zhi jiao 
贫困地区	pin kun di qu 
输入	shu ru 
融资担保公司	rong zi dan bao gong si 
保险	bao xian 
二三	er san 
科教兴国	ke jiao xing guo 
决议	jue yi 
下游	xia you 
行政管理	xing zheng guan li 
南侧	nan ce 
请于	qing yu 
会上	hui shang 
宗族	zong zu 
通报批评	tong bao pi ping 
廉洁	lian jie 
红色	hong se 
不实	bu shi 
周末	zhou mo 
水利	shui li 
获取	huo qu 
充分运用	chong fen yun yong 
退付	tui fu 
广播	guang bo 
支行	zhi xing 
安排	an pai 
绥宁县	sui ning xian 
草原	cao yuan 
中叶	zhong ye 
包头市	bao tou shi 
政令	zheng ling 
航站	hang zhan 
随意	sui yi 
疫病	yi bing 
入伍	ru wu 
残运会	can yun hui 
克孜勒苏柯尔克孜自治州	ke zi lei su ke er ke zi zi zhi zhou 
房屋建筑	fang wu jian zhu 
兽药	shou yao 
补休	bu xiu 
掌上	zhang shang 
成效明显	cheng xiao ming xian 
亲属	qin shu 
弥补	mi bu 
生态农业	sheng tai nong ye 
测算	ce suan 
授予	shou yu 
客货	ke huo 
化机制	hua ji zhi 
规章制度	gui zhang zhi du 
发育	fa yu 
当面	dang mian 
控股公司	kong gu gong si 
出现	chu xian 
存入	cun ru 
中队长	zhong dui zhang 
存量	cun liang 
关键作用	guan jian zuo yong 
周边环境	zhou bian huan jing 
卫生防疫	wei sheng fang yi 
为主体	wei zhu ti 
疏导	shu dao 
南昌市	nan chang shi 
出卖	chu mai 
交织	jiao zhi 
目的	mu di 
说情	shuo qing 
永定区	yong ding qu 
桃仙	tao xian 
服务收入	fu wu shou ru 
英国	ying guo 
增进	zeng jin 
区政府	qu zheng fu 
造成危害	zao cheng wei hai 
引领者	yin ling zhe 
考试合格	kao shi he ge 
区块	qu kuai 
适宜	shi yi 
结合实际	jie he shi ji 
动车组	dong che zu 
非机动车	fei ji dong che 
残奥会	can ao hui 
辅助生产	fu zhu sheng chan 
听党	ting dang 
做强	zuo qiang 
任职期间	ren zhi qi jian 
撤换	che huan 
病防治	bing fang zhi 
严把	yan ba 
低风险	di feng xian 
综合	zong he 
划定	hua ding 
社会保障厅	she hui bao zhang ting 
过快	guo kuai 
齐齐哈尔	qi qi ha er 
模范作用	mo fan zuo yong 
沙滩	sha tan 
市场机制	shi chang ji zhi 
预约	yu yue 
组织协调	zu zhi xie tiao 
尽责	jin ze 
边防部队	bian fang bu dui 
宽容	kuan rong 
三门峡	san men xia 
三省人民政府	san sheng ren min zheng fu 
四档	si dang 
发现	fa xian 
机动	ji dong 
继续执行	ji xu zhi xing 
不够	bu gou 
基金	ji jin 
双重领导	shuang chong ling dao 
产业结构	chan ye jie gou 
疾病防治	ji bing fang zhi 
实名	shi ming 
钟祥市	zhong xiang shi 
营造	ying zao 
分局	fen ju 
台州市	tai zhou shi 
链条	lian tiao 
糖尿病	tang niao bing 
汉江	han jiang 
超标准	chao biao zhun 
嘉善县	jia shan xian 
分离	fen li 
专营	zhuan ying 
前面	qian mian 
保持一致	bao chi yi zhi 
摘要	zhai yao 
高性能	gao xing neng 
精细化	jing xi hua 
自由贸易港	zi you mao yi gang 
教唆	jiao suo 
人员编制	ren yuan bian zhi 
盐湖区	yan hu qu 
法人	fa ren 
进境	jin jing 
交代	jiao dai 
久久	jiu jiu 
善治	shan zhi 
老年人	lao nian ren 
基地	ji di 
电力	dian li 
反弹	fan dan 
裁定	cai ding 
残疾人	can ji ren 
基础	ji chu 
保险产品	bao xian chan pin 
武装起义	wu zhuang qi yi 
北斗	bei dou 
大营	da ying 
联运	lian yun 
政治素质	zheng zhi su zhi 
党籍	dang ji 
北京大学	bei jing da xue 
巡护	xun hu 
国防科工局	guo fang ke gong ju 
难度	nan du 
富余	fu yu 
基金会	ji jin hui 
多方面	duo fang mian 
舒城县	shu cheng xian 
由于	you yu 
户口	hu kou 
座谈会	zuo tan hui 
董家	dong jia 
抚恤	fu xu 
高度	gao du 
学科建设	xue ke jian she 
与会	yu hui 
莲花	lian hua 
风景	feng jing 
三中全会	san zhong quan hui 
精湛	jing zhan 
价值链	jia zhi lian 
游客	you ke 
购置	gou zhi 
水平	shui ping 
财务制度	cai wu zhi du 
牟取	mou qu 
碧水	bi shui 
叶酸	ye suan 
面向	mian xiang 
公德	gong de 
此外	ci wai 
威宁彝族回族苗族自治县	wei ning yi zu hui zu miao zu zi zhi xian 
掺杂使假	can za shi jia 
地沟油	di gou you 
福建省人民政府	fu jian sheng ren min zheng fu 
实体	shi ti 
技术水平	ji shu shui ping 
一个	yi ge 
公益金	gong yi jin 
资产重组	zi chan chong zu 
媒体	mei ti 
狠抓落实	hen zhua luo shi 
回复	hui fu 
分设	fen she 
应用	ying yong 
特色产业	te se chan ye 
嫌疑人	xian yi ren 
清理	qing li 
拥护	yong hu 
兴奋剂	xing fen ji 
直属机构	zhi shu ji gou 
第一款	di yi kuan 
附表	fu biao 
第五项	di wu xiang 
食用盐	shi yong yan 
严明	yan ming 
平邑县	ping yi xian 
界址	jie zhi 
中未	zhong wei 
马拉松	ma la song 
款项	kuan xiang 
城镇居民	cheng zhen ju min 
家庭教育	jia ting jiao yu 
党委	dang wei 
渔船	yu chuan 
手术室	shou shu shi 
趋势	qu shi 
肥胖	fei pang 
传染	chuan ran 
如勾选	ru gou xuan 
处以	chu yi 
放任不管	fang ren bu guan 
利用网络	li yong wang luo 
陈家	chen jia 
操作性	cao zuo xing 
出版局	chu ban ju 
两委	liang wei 
成都	cheng du 
时效	shi xiao 
选择权	xuan ze quan 
矿区	kuang qu 
宁明县	ning ming xian 
独特	du te 
浏阳市	liu yang shi 
历史	li shi 
软弱涣散	ruan ruo huan san 
易发	yi fa 
诈骗	zha pian 
医院院长	yi yuan yuan zhang 
消减	xiao jian 
地方政府	di fang zheng fu 
市长	shi zhang 
全国人大常委会法工委	quan guo ren da chang wei hui fa gong wei 
刻制	ke zhi 
独立自主	du li zi zhu 
种苗	zhong miao 
发展趋势	fa zhan qu shi 
煽动	shan dong 
战斗力	zhan dou li 
公约	gong yue 
幅度	fu du 
缩小	suo xiao 
微生物	wei sheng wu 
立德树人	li de shu ren 
企业家	qi ye jia 
消防队	xiao fang dui 
对外经贸	dui wai jing mao 
会泽县	hui ze xian 
适用	shi yong 
全面推行	quan mian tui xing 
有章可循	you zhang ke xun 
博物馆	bo wu guan 
抵触	di chu 
扩大	kuo da 
成员	cheng yuan 
妥善解决	tuo shan jie jue 
灾害	zai hai 
诉求	su qiu 
成本低	cheng ben di 
推进改革	tui jin gai ge 
营业税	ying ye shui 
层层加码	ceng ceng jia ma 
办要	ban yao 
四项	si xiang 
奉献	feng xian 
乱占耕地	luan zhan geng di 
超标	chao biao 
保监会	bao jian hui 
领军	ling jun 
真抓实干	zhen zhua shi gan 
饮水	yin shui 
具体安排	ju ti an pai 
二处	er chu 
坚决执行	jian jue zhi xing 
联合会	lian he hui 
减证	jian zheng 
特色	te se 
财富	cai fu 
宿舍	su she 
列入	lie ru 
重复	chong fu 
合格	he ge 
猪肉	zhu rou 
依靠	yi kao 
孕前	yun qian 
实用技术	shi yong ji shu 
第三十六条	di san shi liu tiao 
二科	er ke 
必须	bi xu 
光大	guang da 
区委	qu wei 
生产	sheng chan 
事情	shi qing 
收纳	shou na 
化学药品	hua xue yao pin 
重庆市公安局	chong qing shi gong an ju 
交易平台	jiao yi ping tai 
函复	han fu 
品种	pin zhong 
国家体改委	guo jia ti gai wei 
为先	wei xian 
疏通	shu tong 
精干	jing gan 
安心	an xin 
咳嗽	ke sou 
机制	ji zhi 
大面积	da mian ji 
受到	shou dao 
自治区	zi zhi qu 
政策措施	zheng ce cuo shi 
供电	gong dian 
第三季度	di san ji du 
作品	zuo pin 
炼铁	lian tie 
差评	cha ping 
入学	ru xue 
一家	yi jia 
经济体制改革	jing ji ti zhi gai ge 
竹溪县	zhu xi xian 
中共河南省委	zhong gong he nan sheng wei 
群团	qun tuan 
公寓	gong yu 
航站楼	hang zhan lou 
司法部	si fa bu 
同一	tong yi 
专题组	zhuan ti zu 
大型	da xing 
行政部门	xing zheng bu men 
永续	yong xu 
保价	bao jia 
统收统支	tong shou tong zhi 
认真总结	ren zhen zong jie 
公里	gong li 
仍未	reng wei 
不定期	bu ding qi 
福利待遇	fu li dai yu 
失察	shi cha 
指导员	zhi dao yuan 
刊登	kan deng 
纪检组	ji jian zu 
会计核算	kuai ji he suan 
发行人	fa xing ren 
膳食	shan shi 
全国工商联	quan guo gong shang lian 
香洲区	xiang zhou qu 
贷款风险	dai kuan feng xian 
能力	neng li 
暂缓	zan huan 
内设	nei she 
地下	di xia 
村官	cun guan 
第二类	di er lei 
中介	zhong jie 
订立	ding li 
病情	bing qing 
司法制度	si fa zhi du 
马正	ma zheng 
侧重	ce zhong 
三角债	san jiao zhai 
报废	bao fei 
基本建设	ji ben jian she 
供给侧结构性改革	gong ji ce jie gou xing gai ge 
分配	fen pei 
一九八七年	yi jiu ba qi nian 
浙江省人民政府	zhe jiang sheng ren min zheng fu 
亿亩	yi mu 
景德镇	jing de zhen 
民营	min ying 
征询	zheng xun 
评优	ping you 
侵权人	qin quan ren 
